,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Content Rating,Directors,Genres,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,URL,Year
9685,Aki Kaurismäki,Aki Kaurismäki,Kati Outinen,Kari Väänänen,Elina Salo,Kati Outinen,Kari Väänänen,Elina Salo,Sakari Kuosmanen,Markku Peltola,"FIM 5,562,154",NR,Aki Kaurism�ki,"Comedy, Drama",,7.7,,5560,,0,0,1,10,1996-01-26,96.0,Kauas pilvet karkaavat,http://www.imdb.com/title/tt0116752/,1996
9686,Barbara Peeters,Jimmy T. Murakami,Frank Arnold,Martin B. Cohen,Doug McClure,Ann Turkel,Vic Morrow,Doug McClure,Ann Turkel,Vic Morrow,,R,"Barbara Peeters, Jimmy T. Murakami","Horror, Sci-Fi",,5.7,,5485,,0,0,0,0,1980-05-16,80.0,Humanoids from the Deep,http://www.imdb.com/title/tt0080904/,1980
9687,Fred Schepisi,Graham Swift,Fred Schepisi,Michael Caine,Bob Hoskins,Tom Courtenay,Michael Caine,Tom Courtenay,David Hemmings,Bob Hoskins,"$12,000,000",R,Fred Schepisi,Drama,"$2,326,407,",7.0,78.0,5248,"£100,560 (United Kingdom),",0,0,5,2,2001-09-10,109.0,Last Orders,http://www.imdb.com/title/tt0253200/,2001
9688,Oliver Parker,David Croft,Hamish McColl,Mark Tandy,Russell Balogh,Andrew Havill,Mark Tandy,Russell Balogh,Andrew Havill,Heinz,,NR,Oliver Parker,"Comedy, War",,5.2,38.0,5845,,0,0,0,0,2016-02-05,100.0,Dad's Army,http://www.imdb.com/title/tt4104054/,2016
9689,Nicholas Ray,Cyril Hume,Richard Maibaum,James Mason,Barbara Rush,Walter Matthau,James Mason,Barbara Rush,Walter Matthau,Robert F. Simon,"$1,000,000",NOT RATED,Nicholas Ray,Drama,,7.6,,5598,,0,0,1,0,1956-08-02,95.0,Bigger Than Life,http://www.imdb.com/title/tt0049010/,1956
9690,Icíar Bollaín,Icíar Bollaín,Alicia Luna,Laia Marull,Luis Tosar,Candela Peña,Laia Marull,Luis Tosar,Candela Peña,Rosa Maria Sardà,,NOT RATED,Ic�ar Bolla�n,"Drama, Romance","$25,578,",7.5,74.0,5347,"€342,881 (Spain),",0,0,17,42,2003-09-24,109.0,Te doy mis ojos,http://www.imdb.com/title/tt0350193/,2003
9691,Zülfü Livaneli,Zülfü Livaneli,Serhat Mustafa Kiliç,Dolunay Soysert,Burhan Güven,Serhat Mustafa Kiliç,Dolunay Soysert,Burhan Güven,Fikret Kagan Olcay,Bartunç Akbaba,"$6,000,000",NR,Z�lf� Livaneli,"Biography, Drama, History, War",,7.2,,5538,,0,0,0,0,2010-02-26,114.0,Veda,http://www.imdb.com/title/tt1586001/,2010
9692,David Denneen,Dave Warner,Travis Fimmel,Teresa Palmer,Stephen Moyer,Travis Fimmel,Teresa Palmer,Stephen Moyer,Phillip Holder,Margie McCrae,,R,David Denneen,"Drama, Thriller",,6.2,,5311,,0,0,0,0,2008-08-19,94.0,Restraint,http://www.imdb.com/title/tt0441782/,2008
9693,Damian Harris,Mary Agnes Donoghue,Mary Agnes Donoghue,Goldie Hawn,John Heard,Damon Redfern,Goldie Hawn,Damon Redfern,John Heard,Charles Kassatly,,PG-13,Damian Harris,Thriller,"$28,738,096",6.1,,5396,,0,0,0,0,1991-09-27,104.0,Deceived,http://www.imdb.com/title/tt0101694/,1991
9694,Michael Ritchie,Roger Angell,Andrew Bergman,Albert Brooks,Brendan Fraser,Dianne Wiest,Albert Brooks,Brendan Fraser,Dianne Wiest,Anne Twomey,,PG-13,Michael Ritchie,"Comedy, Drama, Sport","$2,667,163",5.3,,5334,,0,0,0,0,1994-09-30,101.0,The Scout,http://www.imdb.com/title/tt0111094/,1994
