,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Content Rating,Directors,Genres,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,URL,Year
5611,Rob Sitch,Santo Cilauro,Tom Gleisner,Sam Neill,Billy Mitchell,Roz Hammond,Sam Neill,Billy Mitchell,Roz Hammond,Christopher-Robin Street,,PG-13,Rob Sitch,"Comedy, Drama, History","$2,252,970,",7.2,74.0,13593,,0,0,11,3,2000-09-15,101.0,The Dish,http://www.imdb.com/title/tt0205873/,2000
5612,George Mihalka,Stephen A. Miller,John Beaird,Paul Kelman,Lori Hallier,Neil Affleck,Paul Kelman,Lori Hallier,Neil Affleck,Keith Knight,"CAD 2,300,000",R,George Mihalka,"Horror, Mystery, Thriller","$5,672,031",6.2,46.0,14006,,0,0,0,0,1981-02-11,90.0,My Bloody Valentine,http://www.imdb.com/title/tt0082782/,1981
5613,Blake Edwards,Arthur A. Ross,Blake Edwards,Tony Curtis,Natalie Wood,Jack Lemmon,Jack Lemmon,Tony Curtis,Natalie Wood,Peter Falk,"$12,000,000",NOT RATED,Blake Edwards,"Action, Adventure, Comedy, Family, Musical, Romance, Sport, Western","$25,333,333",7.3,,13654,,0,1,14,2,1965-07-01,160.0,The Great Race,http://www.imdb.com/title/tt0059243/,1965
5614,Roberts Gannaway,Roberts Gannaway,Jeffrey M. Howard,Dane Cook,Ed Harris,Julie Bowen,Dane Cook,Ed Harris,Julie Bowen,Curtis Armstrong,"$50,000,000",PG,Roberts Gannaway,"Animation, Adventure, Comedy, Family","$153,765,787",6.0,48.0,14078,,0,0,6,0,2014-07-15,83.0,Planes: Fire & Rescue,http://www.imdb.com/title/tt2980706/,2014
5615,Jonathan Demme,Barry Strugatz,Mark R. Burns,Michelle Pfeiffer,Alec Baldwin,Paul Lazar,Paul Lazar,Alec Baldwin,Captain Haggerty,Marlene Willoughby,"$10,000,000",R,Jonathan Demme,"Comedy, Crime, Romance","$21,486,757",6.1,71.0,13609,,1,0,4,6,1988-08-11,104.0,Married to the Mob,http://www.imdb.com/title/tt0095593/,1988
5616,Rakesh Roshan,Robin Bhatt,Sachin Bhowmick,Rekha,Hrithik Roshan,Priyanka Chopra,Rekha,Hrithik Roshan,Priyanka Chopra,Sharat Saxena,"$10,000,000",NOT RATED,Rakesh Roshan,"Action, Adventure, Sci-Fi",,6.3,68.0,14469,,0,0,12,9,2006-06-23,185.0,Krrish,http://www.imdb.com/title/tt0432637/,2006
5617,Jim Abrahams,Jim Abrahams,Greg Norberg,Jay Mohr,Christina Applegate,Lloyd Bridges,Jay Mohr,Billy Burke,Christina Applegate,Pamela Gidley,"$10,000,000",PG-13,Jim Abrahams,"Comedy, Crime","$30,182,538",5.5,,13302,,0,0,2,0,1998-07-24,87.0,Jane Austen's Mafia!,http://www.imdb.com/title/tt0120741/,1998
5618,Krzysztof Kieslowski,Krzysztof Kieslowski,Krzysztof Piesiewicz,Grazyna Szapolowska,Olaf Lubaszenko,Stefania Iwinska,Grazyna Szapolowska,Olaf Lubaszenko,Stefania Iwinska,Piotr Machalica,,NOT RATED,Krzysztof Kieslowski,"Drama, Romance",,8.3,,14593,,0,0,1,8,1988-09-01,86.0,Kr�tki film o milosci,http://www.imdb.com/title/tt0095467/,1988
5619,Greg McLean,Greg McLean,Aaron Sterns,John Jarratt,Ryan Corr,Shannon Ashlyn,John Jarratt,Ryan Corr,Shannon Ashlyn,Philippe Klaus,"$7,200,000",NOT RATED,Greg McLean,Horror,,6.1,44.0,14426,"AUD 1,681,636 (Australia),",0,0,4,4,2013-08-30,106.0,Wolf Creek 2,http://www.imdb.com/title/tt2004432/,2013
5620,Jacques Tati,Pierre Aubert,Jacques Lagrange,Jacques Tati,Nathalie Pascaud,Micheline Rolla,Jacques Tati,Nathalie Pascaud,Micheline Rolla,Valentine Camax,,NOT RATED,Jacques Tati,Comedy,,7.6,,13897,,1,0,2,2,1953-02-25,114.0,Les vacances de Monsieur Hulot,http://www.imdb.com/title/tt0046487/,1953
